coefficient,token_acc,sentence_acc,correct_expression
c0,0.9532,0.9521,0.9964
c1,0.8409,0.8688,0.9944
c2,0.7102,0.8336,0.9917
c3,0.5958,0.8100,0.9817
c4,0.6115,0.8027,0.9535
