epoch,train_loss,val_loss,train_tok_acc,val_tok_acc,train_sent_acc,val_sent_acc
1,0.9278452818610141,0.3508939419228297,0.6928970616158298,0.8711423589690671,0.3100825987005336,0.5618322650209452
2,0.34725417270244574,0.22773470490788802,0.8725791245410895,0.9163219038868158,0.5175911034320916,0.6596888357248062
3,0.2473616692756141,0.16780602148710153,0.908551210160219,0.9378986153675145,0.5942530047902045,0.7149439102564102
4,0.20132878877014837,0.13756348999838033,0.9253420100631903,0.949151716006358,0.6384069805404303,0.7297342415803518
5,0.17241703882398055,0.12375569088050188,0.9360979432355447,0.9545281947738937,0.6672333743931823,0.7493656518367621
6,0.15129084861687545,0.10547246190552147,0.9438495776473452,0.9612956121777967,0.6879459203695553,0.7715010685034287
7,0.13633495155426328,0.0951840485422275,0.949427154492765,0.9650702664764268,0.7059481971343983,0.7837873934171139
8,0.12349723373207558,0.08741776093554038,0.9541764810508424,0.9680981852746561,0.7185299353909714,0.7893295941444544
9,0.11401051566073986,0.08286420015904766,0.9577855513815945,0.9698622807013885,0.7304245922887556,0.7991119126478831
10,0.10534446367366856,0.07721577706531836,0.9609417378167656,0.9720745400006207,0.7392573729849782,0.8030515492726595
11,0.09808027030789614,0.07451423602656294,0.9636867154524721,0.9733545328870886,0.7476980085028675,0.8087940705128205
12,0.09198813626623903,0.0675358318675978,0.9659442122993747,0.9758327331196511,0.755104505862399,0.8173076923076923
13,0.08610766270384991,0.0657474222437789,0.9680727908853118,0.9761847926223123,0.7622566052723817,0.8245860044008646
14,0.08114590468930295,0.06099385095652766,0.969965363696123,0.9779976292448979,0.768585117013221,0.8329994659393262
15,0.0765343323373918,0.05883547001613829,0.9716218074015234,0.9789610544913475,0.7747978052980479,0.8356036326059928
16,0.07262789675422689,0.05603373344116008,0.9730834564683043,0.980044062121784,0.7796714915557791,0.8439169338880441
17,0.06883871601328648,0.05340584621388608,0.974447825442446,0.9811018181254476,0.7864951486669326,0.8469551282051282
18,0.06531518188806476,0.051089137291105896,0.9758270772252109,0.9819324820855331,0.7913163006518721,0.85012686978548
19,0.062094367659112186,0.04911585254236483,0.9770142697279274,0.9827821964950784,0.7955604035825368,0.8630141562376267
20,0.059720262688710446,0.04817803881357973,0.9778286656133118,0.9832165085629284,0.8013693643860343,0.8638822115384616
21,0.05695448771952581,0.04715466380525285,0.9788981174343321,0.9835369461412986,0.8055741700468275,0.8673210472632678
22,0.054739681872378786,0.04590868413111028,0.979694691221112,0.9840317296659408,0.8103307918449059,0.8719284190581396
23,0.05270503624658592,0.0457319877608918,0.9804234280012153,0.9840490265647606,0.8136743672666079,0.8570379274777877
24,0.05092946651809083,0.0442156173051514,0.9811108683179305,0.9847625806041125,0.8173712042930554,0.8767361113658318
25,0.049661291175700985,0.043513637415181175,0.9816089818487045,0.9850674980373167,0.8205137433027523,0.879540598545319
26,0.048133387006326626,0.04302882946481427,0.9821419602769057,0.985257398806178,0.8231160485207651,0.8811431626478831
27,0.04697355548994319,0.04264366116825467,0.9825882788014021,0.9854260123319858,0.8242304357483695,0.8820446049555754
28,0.04633769360747058,0.04243709830170234,0.9828025963497835,0.9854561972225471,0.8270015123488649,0.8814436434171139
29,0.04610365099726968,0.042105641084699295,0.9828757429295417,0.9855781534139411,0.8269651106547423,0.8823450857248062
30,0.045651003689417956,0.042163740342053085,0.9830520653423857,0.9855668868196281,0.8278697747004893,0.8827123397435898
